task,task_label,prompt_version,participant_structure,planned_n,complete_n,technical_failure_rate,reference_fidelity_mean,reference_fidelity_median,reference_fidelity_q1,reference_fidelity_q3,reference_fidelity_ci_low,reference_fidelity_ci_high,visual_quality_mean,visual_quality_median,visual_quality_q1,visual_quality_q3,visual_quality_ci_low,visual_quality_ci_high,progress_auc_mean,progress_auc_median,progress_auc_q1,progress_auc_q3,progress_auc_ci_low,progress_auc_ci_high,intent_conflict_rate_mean,intent_conflict_rate_median,intent_conflict_rate_q1,intent_conflict_rate_q3,intent_conflict_rate_ci_low,intent_conflict_rate_ci_high,destructive_overwrite_rate_mean,destructive_overwrite_rate_median,destructive_overwrite_rate_q1,destructive_overwrite_rate_q3,destructive_overwrite_rate_ci_low,destructive_overwrite_rate_ci_high,posts_per_100_turns_mean,posts_per_100_turns_median,posts_per_100_turns_q1,posts_per_100_turns_q3,posts_per_100_turns_ci_low,posts_per_100_turns_ci_high,generation_cost_usd_mean,generation_cost_usd_median,generation_cost_usd_q1,generation_cost_usd_q3,generation_cost_usd_ci_low,generation_cost_usd_ci_high,dollars_per_0_1_fidelity_mean,dollars_per_0_1_fidelity_median,dollars_per_0_1_fidelity_q1,dollars_per_0_1_fidelity_q3,dollars_per_0_1_fidelity_ci_low,dollars_per_0_1_fidelity_ci_high,pooled_repair_rate,unique_target_coordinates,different_state_conflict_coordinates,pooled_intent_conflict_rate,state_changing_pixel_actions,persistent_damage_episodes,pooled_destructive_overwrite_rate,observed_team_repairs,used_forum_rate,canonical_color_iou_repeatability,canonical_diversity
competing,Four-team shared-canvas competition,V1,4 Gemini agents,5,5,0.0,0.9844024355204629,0.9865752435943702,0.9811992945326279,0.9939024390243902,0.9730257744987189,0.9942912290069927,1.0,1.0,1.0,1.0,1.0,1.0,0.8499501069211685,0.8650907469486607,0.8278581201917532,0.8657232233629449,0.8325583014072143,0.8669678278275366,0.009332812518006592,0.008517887563884156,0.007054673721340388,0.012030075187969926,0.005878805451965155,0.013191949781862063,0.023703242630728625,0.025821596244131457,0.02004008016032064,0.02643171806167401,0.019382464532450183,0.028017708227881858,1.7784935216323565,1.3840830449826989,1.2987012987012987,1.7123287671232876,1.1577615687204728,2.6964903608502224,1.3890762764999998,1.415141516249999,1.3444551450000013,1.435555068749999,1.3193259750000004,1.448459570249999,0.1411845401180323,0.14172134657613458,0.1352703336073621,0.14630616601021848,0.1338960520214632,0.14851913141921,0.9629629629629629,3041,29,0.009536336731338375,2286,54,0.023622047244094488,52,1.0,0.9537483610086582,0.04625163899134177
competing,Four-team shared-canvas competition,V1,4 homogeneous agents; one model family per team,5,4,0.19999999999999996,0.6358231381638785,0.6668948191933053,0.6173177262298541,0.6854002311273295,0.5289491738634973,0.711625421434833,0.5546875,0.546875,0.5,0.6015625,0.5,0.609375,0.590219849254451,0.6307950066264669,0.5823675533200777,0.6386473025608403,0.4891618064404626,0.6507027346964236,0.05431165763243229,0.03520406536468713,0.02835778868952109,0.06115793430759833,0.026922831265052544,0.09953737406667701,0.1304500856341348,0.05895805685732726,0.05389749239523607,0.13551065009622598,0.053388020699068436,0.27723810465921456,0.38580246913580246,0.30864197530864196,0.30864197530864196,0.3858024691358024,0.30864197530864196,0.5401234567901234,0.5304943757817,0.5290516119487501,0.52122256823835,0.5383234194920999,0.5094797427794253,0.5529517726169249,0.08513258713496279,0.08186482422082081,0.07817748042489868,0.08881993093088492,0.07525609985881335,0.09827683732525422,0.8025134649910234,6469,353,0.054567939403308084,3805,557,0.1463863337713535,447,1.0,0.4110437741613079,0.5889562258386921
competing,Four-team shared-canvas competition,V1,"4 mixed agents (GLM, Gemini, Qwen, Luna)",5,5,0.0,0.6612996812238582,0.6231069125805968,0.5945892604276668,0.6800094562351063,0.5743032849895159,0.7767491337042965,0.6125,0.53125,0.5,0.6875,0.46875,0.7875,0.5854641998056981,0.5465984158916828,0.5438018818498834,0.574379427092201,0.543596619322926,0.655644466530638,0.06108116747223602,0.060109289617486336,0.04695089044792229,0.07621776504297995,0.04278441602968729,0.07934956217443997,0.12701994414764906,0.10963748894783377,0.09382329945269742,0.14262820512820512,0.0887924517380314,0.17259644318396072,1.6666666666666665,1.8518518518518519,1.2345679012345678,2.1604938271604937,1.1111111111111112,2.2222222222222223,0.5082452920353602,0.48997760931899986,0.48166014839580024,0.49749936018750024,0.48094551252792017,0.5536566101226601,0.07813641318232771,0.07984173343978918,0.07205452877549326,0.08000730250700049,0.0712102728148525,0.08497951758673848,0.8190954773869347,8965,547,0.06101505856107083,6157,796,0.12928374208218288,652,1.0,0.40330622285579415,0.5966937771442058
competing,Four-team shared-canvas competition,V2,4 Gemini agents,5,5,0.0,0.967584842525381,0.9737468082908183,0.9445836168209527,0.9866446588069453,0.9499558702249764,0.9846394517647528,1.0,1.0,1.0,1.0,1.0,1.0,0.8641224705800874,0.8568488038095146,0.8566944142619335,0.8703978933182949,0.8552226105636274,0.8756585802770356,0.008986069484362683,0.009630818619582664,0.007112375533428165,0.010802469135802469,0.006963250623986972,0.010947503904677003,0.026852422808664192,0.01762114537444934,0.015968063872255488,0.030927835051546393,0.01626066097299841,0.04168340250814478,1.524422973698336,1.5432098765432098,1.4492753623188406,1.5432098765432098,1.3580246913580247,1.7096081588835212,1.4700053609999997,1.496529539999999,1.4480550562500003,1.5352267837500002,1.3202093272499997,1.5971881117499995,0.15223897446793824,0.15167867444897623,0.14870960745860803,0.1627277555288026,0.13521172703169837,0.16821051910524853,0.9857142857142858,3535,32,0.009052333804809052,2475,70,0.028282828282828285,69,1.0,0.924056720001994,0.07594327999800599
competing,Four-team shared-canvas competition,V2,4 homogeneous agents; one model family per team,5,4,0.19999999999999996,0.5775354211835234,0.5929580495298339,0.5576699760381609,0.6128234946751965,0.5357624371938056,0.6132214965649626,0.453125,0.40625,0.40625,0.453125,0.40625,0.546875,0.504535681542264,0.5133690137089088,0.4848340728819211,0.5330706223692516,0.46288144770544126,0.5387253284385964,0.09663042765392296,0.06822477356616612,0.05096557103246067,0.1138896301876284,0.046030520946908904,0.17440896231016878,0.20881297495980408,0.20422157948466876,0.14125111415673908,0.27178344028773377,0.12652986898475163,0.29109608093485656,1.9290123456790123,1.8518518518518519,1.8518518518518519,1.9290123456790123,1.8518518518518519,2.083333333333333,0.5661223923465,0.5592553873235999,0.526584860314425,0.598792919355675,0.52512296694165,0.60712181775135,0.09892559014341915,0.0936101560939079,0.08984775664627713,0.10268798959104992,0.08863923887706901,0.11445895238927734,0.6272251308900524,6144,566,0.09212239583333333,4345,955,0.21979286536248563,599,1.0,0.2672456389692639,0.7327543610307361
competing,Four-team shared-canvas competition,V2,"4 mixed agents (GLM, Gemini, Qwen, Luna)",5,4,0.19999999999999996,0.7146934872949056,0.712009830168286,0.6324616519542023,0.7942416655089893,0.6300455922673588,0.7993413823224523,0.71875,0.71875,0.6484375,0.7890625,0.640625,0.796875,0.6084032639335036,0.6027174012245415,0.5687157029050551,0.64240496225299,0.5665645582266776,0.6502419696403297,0.047811681954031834,0.03989877935283395,0.036032010872339336,0.05167845043452644,0.03500618906640804,0.06813542591150314,0.0865860545036572,0.08635119066139438,0.06555041625921088,0.1073868289058407,0.060863782474523606,0.11230832653279078,2.623456790123457,2.314814814814815,1.8518518518518519,3.0864197530864192,1.8518518518518519,3.4722222222222223,0.5218134616010252,0.5199800158624499,0.513368750473425,0.52842472699005,0.5098350420405001,0.5356253269001254,0.07408138233766828,0.07359058953585118,0.06572538334394815,0.08194658852957132,0.0650678370177086,0.08309492765762798,0.801980198019802,7226,348,0.04815942430113479,4641,404,0.08705020469726352,324,1.0,0.46207095052284186,0.5379290494771581
competing,Four-team shared-canvas competition,V3,4 Gemini agents,5,5,0.0,0.9654801993014999,0.9677469135802469,0.9559634902225013,0.9692805383022775,0.9555310696166993,0.976300402128966,1.0,1.0,1.0,1.0,1.0,1.0,0.8920969199132472,0.8915172678011947,0.8824399407790948,0.8955155518895906,0.8838691835036461,0.9011243131405277,0.002351383556202833,0.0,0.0,0.0051635111876075735,0.0,0.004988746193565471,0.013081481305285969,0.008086253369272238,0.002857142857142857,0.017341040462427744,0.00276010781671159,0.025741989995037753,3.1418968878134033,3.4482758620689653,2.6315789473684212,3.888888888888889,2.4152046783625734,3.8007662835249043,1.01046238425,0.9370921724999998,0.8278481475000001,1.17267517125,0.7134042465,1.35463712175,0.10488853053028556,0.09874618853585926,0.0840097331667567,0.12117581103013875,0.07119038417614784,0.1416517520287788,0.9615384615384616,2310,6,0.0025974025974025974,1875,26,0.013866666666666666,25,1.0,0.9510122974213485,0.04898770257865148
competing,Four-team shared-canvas competition,V3,4 homogeneous agents; one model family per team,5,4,0.19999999999999996,0.6719582390597337,0.6746708850964389,0.6416690465352505,0.7049600776209223,0.6379744810907293,0.7059419970287383,0.625,0.609375,0.5390625,0.6953125,0.4375,0.828125,0.5899274608518157,0.5815638017643436,0.5762836473354901,0.5952076152806692,0.5740755590452651,0.6141430217458386,0.03658686514879127,0.03897299751292882,0.03503518972493787,0.04052467293678222,0.027329820092661307,0.04345777784078367,0.039600016866474484,0.0380264433103516,0.029481132075471695,0.048145328101354384,0.027122641509433963,0.05291604601125455,7.098765432098765,5.709876543209877,5.169753086419753,7.638888888888889,5.092592592592593,10.339506172839506,0.7100423910582749,0.6957987198822,0.6891276388070247,0.7167134721334504,0.6819440092566748,0.7523844440359502,0.10601021297888386,0.10295986164340043,0.098600331521073,0.1103697431012113,0.09856294915900887,0.11438413661617476,0.6694214876033058,5637,207,0.036721660457690264,3149,121,0.038424896792632585,81,1.0,0.4225771191225163,0.5774228808774837
competing,Four-team shared-canvas competition,V3,"4 mixed agents (GLM, Gemini, Qwen, Luna)",5,4,0.19999999999999996,0.7596904268852405,0.761279839732759,0.7131940667228513,0.807776199895148,0.670999042255152,0.8467923986678103,0.828125,0.859375,0.765625,0.921875,0.6953125,0.9375,0.6495878331270464,0.6332135569880011,0.6003777977369883,0.6824235923780592,0.5999304569321428,0.699872617042757,0.03587806883389546,0.03487535708049904,0.029569771549216216,0.04118365436517828,0.029158281387002074,0.04259785628078884,0.04729852744185234,0.03754239901325933,0.028950668896321072,0.05589025755879059,0.028915830546265328,0.07119374523264684,7.561728395061729,5.864197530864198,5.632716049382717,7.7932098765432105,5.169753086419753,11.651234567901234,0.6611355849483,0.65202370366815,0.6382434876617251,0.6749158009547249,0.6242482563322503,0.7071347948444998,0.08829617194729511,0.08832583403546646,0.07736831731982045,0.0992536886629411,0.07641191542817566,0.10018042846641455,0.7591623036649214,6637,238,0.035859575109236104,4084,191,0.04676787463271303,145,1.0,0.5165957977330249,0.4834042022669751
single,Single-team shared image,V1,2 Gemini agents,5,5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7209481610235497,0.7689668573762464,0.6683581369358237,0.7689668573762464,0.664811359218913,0.7691954555598548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9523809523809526,6.666666666666667,4.761904761904762,6.666666666666667,2.2857142857142856,6.666666666666667,0.043557723,0.040735406249999995,0.038338987500000005,0.0522126,0.03651117525,0.05060427075,0.0043557723,0.004073540624999999,0.0038338987500000006,0.00522126,0.003651117525,0.005060427075,,424,0,0.0,415,0,0.0,0,0.8,1.0,0.0
