task,task_label,contrast,metric,participant_structure_blocks,effect,ci_low,ci_high
competing,Four-team shared-canvas competition,V2-V1,forum_posts_total,3,2.4999999999999996,1.0499999999999998,3.933333333333333
competing,Four-team shared-canvas competition,V2-V1,posts_per_100_turns,3,0.7486431506886598,0.30052439190649755,1.1961802597595848
competing,Four-team shared-canvas competition,V2-V1,reference_fidelity,3,-0.007237167968129861,-0.06363578229259292,0.04807279538932455
competing,Four-team shared-canvas competition,V2-V1,visual_quality,3,0.0015624999999999851,-0.0703125,0.06666666666666667
competing,Four-team shared-canvas competition,V2-V1,intent_conflict_rate,3,0.009567513823214191,-0.016277558628847506,0.03850824194149239
competing,Four-team shared-canvas competition,V2-V1,destructive_overwrite_rate,3,0.013692726619870999,-0.043146795711757696,0.06342809020775589
competing,Four-team shared-canvas competition,V2-V1,progress_auc,3,-0.016190913308487504,-0.055362894524754895,0.025304511819524773
competing,Four-team shared-canvas competition,V2-V1,generation_cost_usd,3,0.043375090210154954,-0.013004937511639975,0.094450523415542
competing,Four-team shared-canvas competition,V3-V1,forum_posts_total,3,13.816666666666666,9.416666666666668,19.099999999999998
competing,Four-team shared-canvas competition,V3-V1,posts_per_100_turns,3,4.657142685846357,3.278822022152084,6.320954539821503
competing,Four-team shared-canvas competition,V3-V1,reference_fidelity,3,0.03853453677942483,-0.017724430358409204,0.09417085181391777
competing,Four-team shared-canvas competition,V3-V1,visual_quality,3,0.09531249999999998,-0.0015624999999999851,0.18802083333333333
competing,Four-team shared-canvas competition,V3-V1,intent_conflict_rate,3,-0.01663644002792845,-0.03299531611628137,-0.0034716578789612687
competing,Four-team shared-canvas competition,V3-V1,destructive_overwrite_rate,3,-0.06039774893296656,-0.11186458490704909,-0.023621938044214846
competing,Four-team shared-canvas competition,V3-V1,progress_auc,3,0.035326019303597245,-0.0030061887523002468,0.07738687386857195
competing,Four-team shared-canvas competition,V3-V1,generation_cost_usd,3,-0.015391861353494981,-0.12529331731325072,0.10332852781855292
single,Single-team shared image,V2-V1,forum_posts_total,8,0.5750000000000001,0.425,0.75
single,Single-team shared image,V2-V1,posts_per_100_turns,8,1.814559251332615,1.300094041745454,2.338488817042223
single,Single-team shared image,V2-V1,reference_fidelity,8,-0.018318673377847372,-0.04063498442914891,0.0029421948873366854
single,Single-team shared image,V2-V1,visual_quality,8,-0.04374999999999999,-0.11562499999999998,0.028124999999999983
single,Single-team shared image,V2-V1,intent_conflict_rate,8,-0.00013470868573039774,-0.005564536683050341,0.005198822185783862
single,Single-team shared image,V2-V1,destructive_overwrite_rate,8,-0.0006757200493859731,-0.008452530699274588,0.007553432186773161
single,Single-team shared image,V2-V1,progress_auc,8,-0.002907223376318796,-0.01912033979232539,0.013584659356358612
single,Single-team shared image,V2-V1,generation_cost_usd,8,-0.025119631341337503,-0.031525330016874374,-0.018938116540276318
single,Single-team shared image,V3-V1,forum_posts_total,8,1.375,1.025,1.775
single,Single-team shared image,V3-V1,posts_per_100_turns,8,4.939793423489689,3.7309154514959073,6.297433363079298
single,Single-team shared image,V3-V1,reference_fidelity,8,0.010905898976338813,-0.01277653845945625,0.0349864375505291
single,Single-team shared image,V3-V1,visual_quality,8,0.05000000000000002,-0.025000000000000022,0.125
single,Single-team shared image,V3-V1,intent_conflict_rate,8,-0.005382852148826933,-0.009619681482486592,-0.0015238353766584612
single,Single-team shared image,V3-V1,destructive_overwrite_rate,8,-0.011228018885764284,-0.016561899463507376,-0.00568427411611183
single,Single-team shared image,V3-V1,progress_auc,8,0.020146555917885042,-0.0012321320240915488,0.042017577941828546
single,Single-team shared image,V3-V1,generation_cost_usd,8,-0.029925169053120003,-0.03661533712642163,-0.023461266430175064
