run_key,batch,phase,mode,prompt_version,condition,repetition,horizon,status,run_dir,summary_stop_reason,summary_error,run_id,configured_rounds,observed_last_round,stop_reason,reference_fidelity,reference_fidelity_actual_final,reference_precision,reference_recall,progress_auc,stopping_class,stopping_gap,filled_pixels_horizon,filled_pixels_actual_final,analysis_image,validation_ok,validation_warning_count,localization_flag_count,intent_low_confidence_teams,accepted_pixel_actions,state_changing_pixel_actions,unique_target_coordinates,shared_target_coordinates,different_state_conflict_coordinates,intent_conflict_rate,shared_target_disagreement_rate,conflicts_per_100_actions,persistent_damage_episodes,intra_team_damage_episodes,cross_team_damage_episodes,destructive_overwrite_rate,observed_team_repairs,repair_rate,median_repair_latency_rounds,opponent_recoveries,unobserved_reversals,unrepaired_damage_episodes,agent_turns,team_posts_start,team_posts_mid,public_posts_start,public_posts_mid,forum_posts_total,used_forum,posts_per_100_turns,forum_posts_total_actual,generation_cost_usd,generation_cost_actual_total_usd,dollars_per_0_1_fidelity,prompt_tokens,completion_tokens,reasoning_tokens,billed_responses,invalid_output_responses,missing_cost_responses,rate_limit_retries,transient_retries,invalid_output_retries,recognizability,subjective_reference_fidelity,visual_coherence,visual_quality,separation_coherence,mean_object_recognizability,mean_subjective_reference_fidelity,apple_recognizability,apple_subjective_fidelity,orange_recognizability,orange_subjective_fidelity,lemon_recognizability,lemon_subjective_fidelity,eggplant_recognizability,eggplant_subjective_fidelity,judge_reason
competing_v1__all_gemini__rep_01,competing_v1,competing,competing,V1,all_gemini,1,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\all_gemini\rep_01,stalled,,drawing_competing_v1_all_gemini_01,20,18,stalled,0.9865752435943702,0.9865752435943702,0.9765960393297327,0.9969879518072289,0.8691509727315662,stall,0.01342475640562979,312,312,analysis/results/analysis_canvases/competing_v1__all_gemini__rep_01.png,1,0,0,0,1002,454,587,248,5,0.008517887563884156,0.020161290322580645,0.499001996007984,12,12,0,0.02643171806167401,12,1.0,1.0,0,0,0,289,2,0,2,0,4,1,1.3840830449826989,4,1.2722065537500005,1.2722065537500005,0.1289518019036232,1073834,470597,450987,292,0,0,0,0,0,,,,1.0,4,4,3.75,4,4,4,3,4,4,4,4,Clean four-quadrant layout matching refs closely.
competing_v1__all_gemini__rep_02,competing_v1,competing,competing,V1,all_gemini,2,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\all_gemini\rep_02,stalled,,drawing_competing_v1_all_gemini_02,20,18,stalled,0.9811992945326279,0.9811992945326279,0.966728525980912,0.9969879518072289,0.8650907469486607,stall,0.018800705467372114,316,316,analysis/results/analysis_canvases/competing_v1__all_gemini__rep_02.png,1,0,0,0,1018,426,582,255,2,0.003436426116838488,0.00784313725490196,0.19646365422396855,11,11,0,0.025821596244131457,10,0.9090909090909091,1.0,0,1,1,292,0,1,4,0,5,1,1.7123287671232876,5,1.435555068749999,1.435555068749999,0.14630616601021848,1142280,544907,525548,293,1,0,0,0,1,,,,1.0,4,4,4,4,4,4,4,4,4,4,4,Four isolated high-fidelity copies in quadrants with no overlap.
competing_v1__all_gemini__rep_03,competing_v1,competing,competing,V1,all_gemini,3,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\all_gemini\rep_03,stalled,,drawing_competing_v1_all_gemini_03,20,19,stalled,0.9985380116959064,0.9985380116959064,1.0,0.997093023255814,0.8278581201917532,stall,0.0014619883040936088,304,304,analysis/results/analysis_canvases/competing_v1__all_gemini__rep_03.png,1,0,0,0,1173,456,640,278,10,0.015625,0.03597122302158273,0.8525149190110827,14,14,0,0.03070175438596491,13,0.9285714285714286,1,0,2,1,308,6,1,4,0,11,1,3.5714285714285716,11,1.415141516249999,1.415141516249999,0.14172134657613458,1177009,526964,505176,308,0,0,0,0,0,,,,1.0,4,4,4,4,4,4,4,4,4,4,4,Clean four-quadrant placement; shapes and colors closely match all references.
competing_v1__all_gemini__rep_04,competing_v1,competing,competing,V1,all_gemini,4,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\all_gemini\rep_04,stalled,,drawing_competing_v1_all_gemini_04,20,19,stalled,0.9939024390243902,0.9939024390243902,0.9880952380952381,1.0,0.8657232233629449,stall,0.0060975609756097615,309,309,analysis/results/analysis_canvases/competing_v1__all_gemini__rep_04.png,1,0,0,0,959,451,567,245,4,0.007054673721340388,0.0163265306122449,0.4171011470281543,7,7,0,0.015521064301552107,7,1.0,1,0,2,0,308,0,0,4,0,4,1,1.2987012987012987,4,1.3444551450000013,1.3444551450000013,0.1352703336073621,1178413,488603,470165,308,0,0,0,0,0,,,,1.0,4,4,4,4,4,4,4,4,4,4,4,Four distinct well-matched fruits in separate quadrants with no overlap.
competing_v1__all_gemini__rep_05,competing_v1,competing,competing,V1,all_gemini,5,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\all_gemini\rep_05,max_steps,,drawing_competing_v1_all_gemini_05,20,20,max_steps,0.9617971887550201,0.9617971887550201,0.9395893895348837,0.9866071428571428,0.8219274713709175,censored,,319,319,analysis/results/analysis_canvases/competing_v1__all_gemini__rep_05.png,1,0,0,0,1339,499,665,314,8,0.012030075187969926,0.025477707006369428,0.5974607916355489,10,10,0,0.02004008016032064,10,1.0,4.5,0,4,0,324,0,0,3,0,3,1,0.9259259259259259,3,1.4780230987499992,1.4780230987499992,0.15367305249282315,1215022,553237,529646,324,0,0,0,0,0,,,,1.0,4,4,4,4,4,4,4,4,4,4,4,"Identical to first: clear, well-separated copies of all four references."
competing_v1__four_heterogeneous_teams__rep_01,competing_v1,competing,competing,V1,four_heterogeneous_teams,1,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\four_heterogeneous_teams\rep_01,max_steps,,drawing_competing_v1_01,20,20,max_steps,0.8791772811200964,0.8791772811200964,0.8154187557725294,0.9552391876476004,0.7206508156831328,censored,,358,358,analysis/results/analysis_canvases/competing_v1__four_heterogeneous_teams__rep_01.png,1,0,0,0,2099,1159,1752,285,53,0.030251141552511414,0.18596491228070175,2.52501191043354,85,77,8,0.07333908541846419,76,0.8941176470588236,2.0,0,9,9,324,1,2,2,1,6,1,1.8518518518518519,6,0.59637451401,0.59637451401,0.06783324897228943,1136635,292821,229950,335,11,0,0,0,29,,,,0.9375,4,3.5,2.75,4,3,4,3,3,2,3,3,"Four distinct quadrant fruits; lemon stretched, others close."
competing_v1__four_heterogeneous_teams__rep_02,competing_v1,competing,competing,V1,four_heterogeneous_teams,2,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\four_heterogeneous_teams\rep_02,max_steps,,drawing_competing_v1_02,20,20,max_steps,0.5945892604276668,0.5945892604276668,0.47047466237895286,0.8577009866709362,0.5438018818498834,censored,,444,444,analysis/results/analysis_canvases/competing_v1__four_heterogeneous_teams__rep_02.png,1,0,2,0,2252,1279,1853,311,87,0.04695089044792229,0.2797427652733119,3.863232682060391,120,33,87,0.09382329945269742,87,0.725,2,0,18,33,324,1,6,1,0,8,1,2.4691358024691357,8,0.4757148282645003,0.4757148282645003,0.08000730250700049,1021224,234600,171951,325,1,0,0,0,12,,,,0.53125,2,2.25,1.75,3,2,2,2,2,2,2,1,Eggplant too tall/rect; others overlap in center.
competing_v1__four_heterogeneous_teams__rep_03,competing_v1,competing,competing,V1,four_heterogeneous_teams,3,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\four_heterogeneous_teams\rep_03,max_steps,,drawing_competing_v1_03,20,20,max_steps,0.6231069125805968,0.6231069125805968,0.47956302849267124,0.9034430913020854,0.574379427092201,censored,,424,424,analysis/results/analysis_canvases/competing_v1__four_heterogeneous_teams__rep_03.png,1,0,1,0,2206,1131,1830,300,110,0.060109289617486336,0.36666666666666664,4.986400725294651,124,39,85,0.10963748894783377,97,0.782258064516129,1,0,21,27,324,1,1,1,1,4,1,1.2345679012345678,4,0.49749936018750024,0.49749936018750024,0.07984173343978918,1020991,246103,185311,329,5,0,0,0,15,,,,0.40625,1,2.25,2.25,2,2,2,2,2,2,3,3,"Heavy merging, extra black pixels and mixed colors make most fruits barely distinct."
competing_v1__four_heterogeneous_teams__rep_04,competing_v1,competing,competing,V1,four_heterogeneous_teams,4,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\four_heterogeneous_teams\rep_04,max_steps,,drawing_competing_v1_04,20,20,max_steps,0.5296154957558245,0.5296154957558245,0.3996279752697505,0.7955631079133811,0.5418904585115903,censored,,412,412,analysis/results/analysis_canvases/competing_v1__four_heterogeneous_teams__rep_04.png,1,0,3,0,2388,1340,1785,451,164,0.09187675070028012,0.36363636363636365,6.867671691792295,289,26,263,0.21567164179104478,241,0.8339100346020761,1,0,29,48,324,0,1,1,0,2,1,0.6172839506172839,2,0.48166014839580024,0.48166014839580024,0.09094525221706623,1023979,221188,164775,332,8,0,0,0,25,,,,0.5,1,3,2.75,3,3,2,2,4,3,3,3,Heavy overlap of apple/eggplant/orange; lemon clearer but cluster poorly separated.
competing_v1__four_heterogeneous_teams__rep_05,competing_v1,competing,competing,V1,four_heterogeneous_teams,5,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\four_heterogeneous_teams\rep_05,max_steps,,drawing_competing_v1_05,20,20,max_steps,0.6800094562351063,0.6800094562351063,0.5528034684605976,0.8952736610895409,0.5465984158916828,censored,,363,363,analysis/results/analysis_canvases/competing_v1__four_heterogeneous_teams__rep_05.png,1,0,1,1,2133,1248,1745,310,133,0.07621776504297995,0.4290322580645161,6.235349273323957,178,33,145,0.14262820512820512,151,0.848314606741573,2,0,20,27,324,3,3,1,0,7,1,2.1604938271604937,7,0.48997760931899986,0.48997760931899986,0.07205452877549326,1074752,227599,171314,335,11,0,0,0,22,,,,0.6875,2,3.5,3,4,4,3,3,3,2,4,3,Heavy overlap; lemon/orange merge; eggplant and apple still clear.
